# Data collected in function IntegratedPopEvolution2()
# In arrays DEBUGinflow and DEBUGoutflow
# 
Year	Ethnicity	Age	Inflow	Outflow
2	3	28	275	1548
2	3	29	324	1200
2	3	30	210	976
2	3	31	253	799
2	3	32	241	663
2	3	33	246	582
2	3	34	201	491
2	3	35	146	430
2	3	36	158	417
2	3	37	156	375
2	3	38	153	342
2	3	39	147	315
2	3	40	83	273
2	3	41	115	256
2	3	42	104	255
2	3	43	116	226
2	3	44	98	211
2	3	45	64	197
2	3	46	56	164
2	3	47	59	137
2	3	48	56	134
2	3	49	60	127
2	3	50	41	97
2	3	51	44	116
2	3	52	50	94
2	3	53	26	105
2	3	54	56	107
2	3	55	16	90
2	3	56	23	85
2	3	57	21	68
2	3	58	26	62
2	3	59	30	79
2	3	60	14	71
2	3	61	17	77
2	3	62	11	54
2	3	63	13	80
2	3	64	13	41
2	3	65	8	102
2	3	66	8	62
2	3	67	15	38
2	3	68	9	47
2	3	69	11	41
2	3	70	6	60
2	3	71	2	46
2	3	72	7	56
2	3	73	7	62
2	3	74	8	64
2	3	75	7	58
2	3	76	5	52
2	3	77	1	42
2	3	78	4	65
2	3	79	4	63
2	3	80	1	44
2	3	81	4	51
2	3	82	2	48
2	3	83	1	39
2	3	84	1	49
2	3	85	2	45
2	3	86	1	34
2	3	87	0	49
2	3	88	0	41
2	3	89	0	31
2	3	90	0	67
2	3	91	0	9
2	3	92	0	6
2	3	93	0	14
2	3	94	0	6
2	3	95	0	6
2	3	96	0	5
2	3	97	0	7
2	3	98	0	0
2	3	99	0	5
2	3	100	17	1
2	4	0	124	0
2	4	1	168	198
2	4	2	149	131
2	4	3	158	92
2	4	4	181	91
2	4	5	89	64
2	4	6	101	105
2	4	7	75	101
2	4	8	94	72
2	4	9	103	70
2	4	10	97	35
2	4	11	97	59
2	4	12	78	79
2	4	13	88	165
2	4	14	82	323
2	4	15	319	338
2	4	16	203	377
2	4	17	227	665
2	4	18	217	1160
2	4	19	293	1769
2	4	20	1160	2090
2	4	21	1112	2399
2	4	22	1239	2783
2	4	23	1146	3178
2	4	24	1178	3578
2	4	25	2431	3822
2	4	26	2537	3971
2	4	27	2599	3944
2	4	28	2485	3737
2	4	29	2653	3192
2	4	30	2902	3142
2	4	31	2915	2948
2	4	32	2885	2941
2	4	33	2837	2747
2	4	34	2825	2491
2	4	35	1694	2472
2	4	36	1710	2324
2	4	37	1791	2213
2	4	38	1738	1914
2	4	39	1698	1622
2	4	40	588	1502
2	4	41	626	1488
2	4	42	607	1162
2	4	43	610	909
2	4	44	610	737
2	4	45	181	612
2	4	46	180	576
2	4	47	176	460
2	4	48	177	366
2	4	49	178	248
2	4	50	70	250
2	4	51	96	221
2	4	52	111	207
2	4	53	106	183
2	4	54	86	184
2	4	55	90	149
2	4	56	75	163
2	4	57	69	175
2	4	58	86	151
2	4	59	77	174
2	4	60	22	187
2	4	61	24	177
2	4	62	27	163
2	4	63	23	176
2	4	64	31	119
2	4	65	39	155
2	4	66	43	170
2	4	67	39	139
2	4	68	48	143
2	4	69	46	160
2	4	70	27	164
2	4	71	28	169
2	4	72	34	189
2	4	73	22	190
2	4	74	18	179
2	4	75	16	191
2	4	76	17	181
2	4	77	16	211
2	4	78	21	219
2	4	79	7	195
2	4	80	9	227
2	4	81	14	214
2	4	82	7	195
2	4	83	14	164
2	4	84	5	140
2	4	85	11	157
2	4	86	1	146
2	4	87	3	125
2	4	88	3	135
2	4	89	1	100
2	4	90	8	184
2	4	91	0	75
2	4	92	0	66
2	4	93	0	51
2	4	94	0	37
2	4	95	0	36
2	4	96	0	43
2	4	97	0	24
2	4	98	0	15
2	4	99	0	16
2	4	100	76	7
2	5	0	78	0
2	5	1	67	167
2	5	2	93	109
2	5	3	79	63
2	5	4	87	54
2	5	5	67	37
2	5	6	66	46
2	5	7	72	57
2	5	8	82	60
2	5	9	73	39
2	5	10	102	38
2	5	11	116	43
2	5	12	121	75
2	5	13	110	110
2	5	14	112	123
2	5	15	316	138
2	5	16	249	178
2	5	17	280	392
2	5	18	243	586
2	5	19	246	723
2	5	20	461	899
2	5	21	473	1017
2	5	22	502	1248
2	5	23	514	1428
2	5	24	471	1618
2	5	25	542	1717
2	5	26	568	1675
2	5	27	546	1526
2	5	28	527	1277
2	5	29	502	1206
2	5	30	321	1161
2	5	31	309	1044
2	5	32	319	820
2	5	33	326	641
2	5	34	281	560
2	5	35	144	525
2	5	36	174	494
2	5	37	160	370
2	5	38	152	329
2	5	39	179	305
2	5	40	95	248
2	5	41	98	259
2	5	42	95	193
2	5	43	84	201
2	5	44	85	164
2	5	45	65	168
2	5	46	47	151
2	5	47	51	132
2	5	48	60	101
2	5	49	70	105
2	5	50	31	110
2	5	51	45	98
2	5	52	41	91
2	5	53	46	102
2	5	54	45	95
2	5	55	26	87
2	5	56	15	82
2	5	57	24	81
2	5	58	17	87
2	5	59	30	87
2	5	60	17	83
2	5	61	23	81
2	5	62	18	91
2	5	63	20	88
2	5	64	18	54
2	5	65	26	106
2	5	66	17	69
2	5	67	37	53
2	5	68	19	82
2	5	69	18	85
2	5	70	13	91
2	5	71	16	85
2	5	72	9	86
2	5	73	15	100
2	5	74	12	87
2	5	75	8	108
2	5	76	11	129
2	5	77	8	123
2	5	78	4	119
2	5	79	8	106
2	5	80	5	106
2	5	81	5	92
2	5	82	4	109
2	5	83	2	95
2	5	84	6	87
2	5	85	2	76
2	5	86	2	71
2	5	87	2	57
2	5	88	2	55
2	5	89	1	46
2	5	90	0	78
2	5	91	1	26
2	5	92	0	26
2	5	93	0	15
2	5	94	0	18
2	5	95	0	15
2	5	96	0	5
2	5	97	0	9
2	5	98	0	12
2	5	99	0	6
2	5	100	31	1
3	0	0	0	0
3	0	1	3901	3453
3	0	2	1952	2017
3	0	3	1811	1331
3	0	4	1913	930
3	0	5	1336	661
3	0	6	787	1159
3	0	7	661	1211
3	0	8	785	971
3	0	9	800	796
3	0	10	1112	478
3	0	11	1122	438
3	0	12	1150	369
3	0	13	1184	341
3	0	14	1225	379
3	0	15	2834	417
3	0	16	3697	581
3	0	17	4564	700
3	0	18	6496	1279
3	0	19	9939	2176
3	0	20	12129	5627
