# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	1	0	28	61.47100635
Bangladesh	1	1	0	29	46.85515225
Bangladesh	1	1	0	30	39.39597254
Bangladesh	1	1	0	31	36.03688984
Bangladesh	1	1	0	32	28.75083971
Bangladesh	1	1	0	33	27.49508466
Bangladesh	1	1	0	34	27.89387347
Bangladesh	1	1	0	35	22.83420059
Bangladesh	1	1	0	36	20.68271957
Bangladesh	1	1	0	37	19.3485079
Bangladesh	1	1	0	38	16.80364453
Bangladesh	1	1	0	39	16.34771568
Bangladesh	1	1	0	40	11.92831041
Bangladesh	1	1	0	41	10.61996194
Bangladesh	1	1	0	42	9.78394402
Bangladesh	1	1	0	43	7.89483449
Bangladesh	1	1	0	44	6.455985614
Bangladesh	1	1	0	45	5.215895435
Bangladesh	1	1	0	46	5.679902034
Bangladesh	1	1	0	47	5.063144868
Bangladesh	1	1	0	48	5.161384639
Bangladesh	1	1	0	49	4.161606548
Bangladesh	1	1	0	50	2.950448546
Bangladesh	1	1	0	51	3.175524779
Bangladesh	1	1	0	52	2.634901909
Bangladesh	1	1	0	53	2.816049993
Bangladesh	1	1	0	54	1.675666191
Bangladesh	1	1	0	55	1.180934678
Bangladesh	1	1	0	56	1.205784022
Bangladesh	1	1	0	57	1.04945782
Bangladesh	1	1	0	58	1.060258073
Bangladesh	1	1	0	59	0.602725169
Bangladesh	1	1	0	60	0.79719285
Bangladesh	1	1	0	61	0.445484162
Bangladesh	1	1	0	62	0.467555838
Bangladesh	1	1	0	63	0.922857013
Bangladesh	1	1	0	64	2.290040159
Bangladesh	1	1	0	65	0.940427449
Bangladesh	1	1	0	66	1.484599907
Bangladesh	1	1	0	67	1.185760724
Bangladesh	1	1	0	68	1.063270604
Bangladesh	1	1	0	69	0.205354096
Bangladesh	1	1	0	70	0.211463909
Bangladesh	1	1	0	71	0.331270115
Bangladesh	1	1	0	72	0.288737343
Bangladesh	1	1	0	73	0.179698935
Bangladesh	1	1	0	74	0.209511852
Bangladesh	1	1	0	75	0.370689757
Bangladesh	1	1	0	76	0.439797047
Bangladesh	1	1	0	77	0.303874149
Bangladesh	1	1	0	78	0.41775514
Bangladesh	1	1	0	79	0.252827234
Bangladesh	1	1	0	80	0.185185583
Bangladesh	1	1	0	81	0.104710678
Bangladesh	1	1	0	82	0.060220142
Bangladesh	1	1	0	83	0.044001119
Bangladesh	1	1	0	84	0.057956984
Bangladesh	1	1	0	85	0.49980513
Bangladesh	1	1	0	86	0.793696098
Bangladesh	1	1	0	87	0.523807125
Bangladesh	1	1	0	88	0.496886749
Bangladesh	1	1	0	89	1.280119559
Bangladesh	1	1	0	90	0
Bangladesh	1	1	0	91	0
Bangladesh	1	1	0	92	0
Bangladesh	1	1	0	93	0
Bangladesh	1	1	0	94	0
Bangladesh	1	1	0	95	0
Bangladesh	1	1	0	96	0
Bangladesh	1	1	0	97	0
Bangladesh	1	1	0	98	0
Bangladesh	1	1	0	99	0
Bangladesh	1	1	0	100	0
Bangladesh	1	0	1	0	2.338383761
Bangladesh	1	0	1	1	2.639623507
Bangladesh	1	0	1	2	2.800021943
Bangladesh	1	0	1	3	3.064222139
Bangladesh	1	0	1	4	2.211306868
Bangladesh	1	0	1	5	3.868541778
Bangladesh	1	0	1	6	3.212273555
Bangladesh	1	0	1	7	4.082303321
Bangladesh	1	0	1	8	4.121313528
Bangladesh	1	0	1	9	7.739213228
Bangladesh	1	0	1	10	6.667322738
Bangladesh	1	0	1	11	6.227364365
Bangladesh	1	0	1	12	6.225624337
Bangladesh	1	0	1	13	6.044794856
Bangladesh	1	0	1	14	12.61872343
Bangladesh	1	0	1	15	1.908981342
Bangladesh	1	0	1	16	2.215100708
Bangladesh	1	0	1	17	3.559620029
Bangladesh	1	0	1	18	5.775261164
Bangladesh	1	0	1	19	8.499444696
Bangladesh	1	0	1	20	8.754546735
Bangladesh	1	0	1	21	10.17783075
Bangladesh	1	0	1	22	10.37794892
Bangladesh	1	0	1	23	9.820684095
